ApplicationNumber,ApprovalNumber,HotelName,Address,City,State,NodalOfficerName,MobileNumber,PhoneNumber,Email,Website,Category,SubCategory,TotalRooms,StartDate,ExpiryDate
030519AS3657,190824AS3903,HOTEL MINERVA GRAND,"54-15-5C,5D, VETERANARY COLONY, GUNADHALA Vijayawada 520008",Vijayawada,Andhra Pradesh,E NAGESWARA RAO,9246477776,9246477776,gmbza@minervagrand.in,www.minervahotels.in,Star Category,3 Star,32,19/08/2019,18/08/2024
060616AS5234,190324AS5624,SEAVALLEY RESORTS PRIVATE LIMITED,"D.NO. 54-14-8-50, BHARATHI NAGAR MAIN ROAD, GUNADALA, OPPOSITE VINAYAKA THEATRE 520008",Vijayawada,Andhra Pradesh,K. RAVINDRANATH,9985477355,0866-2544464,DMP.VSKP.VBPL@GMAIL.COM,WWW.VARUNGROUP.COM,Star Category,5 Star With Alcohol,227,11/03/2019,10/03/2024
150716AS3554,170622AS3002,HOTEL GOLDEN ORCHID ( A UNIT OF NOVA FERROUS PVT LTD),"NEAR NAINA CINEMA HALL, NALIAPOOL, DIBRUGARH, ASSAM - 786001 786001",Dibrugarh,Assam,ABHIJIT SAIKIA,9435090909,9435090909,abhijitsaikia1966@gmail.com,,Star Category,3 Star,32,30/06/2017,29/06/2022
030216AS2609,170622AS2001,TESCO THE RESORT,BOKAKHAT DOGAON DIST:GOLAGHAT(ASSAM) PIN:785612  785612,Golaghat,Assam,TARUN HAZARIKA,9706041650,9706041650,tescotheresort@gmail.com,www.tescotheresort.com,Star Category,2 Star,10,29/06/2017,28/06/2022
080118AS2598,170622AS2008,TESCO THE RESORT,BOKAKHAT DOGAON DIST:GOLAGHAT(ASSAM) PIN:785612  785612,Golaghat,Assam,TARUN HAZARIKA,9706041650,9706041650,tescotheresort@gmail.com,www.tescotheresort.com,Star Category,2 Star,10,29/06/2017,28/06/2022
080118AS2599,170622AS2002,TESCO THE RESORT,BOKAKHAT DOGAON DIST:GOLAGHAT(ASSAM) PIN:785612  785612,Golaghat,Assam,TARUN HAZARIKA,9706041650,9706041650,tescotheresort@gmail.com,www.tescotheresort.com,Star Category,2 Star,10,29/06/2017,29/06/2022
200117AS2298,170622AS2001,HOTEL NEZONE ( A UNIT OF NEZONE GLASS PVT. LTD. ),"N.H- 37, GARCHUK, NEAR DY-365 NEWS CHANNEL, GUWAHATI- 781035, ASSAM, INDIA 781035",Guwahati,Assam,DIWAKAR KUMAR PRASAD,9706561427,03612270061,hotelnezoneghy@rediffmail.com,,Star Category,2 Star,112,30/06/2017,29/06/2022
040116AS3444,170622AS3001,Hotel City Walk International ( A unit of Shree Prime Projects),"B Baruah Road, Opposite JL Nehru Stadium, Guwahati-781007",Guwahati,Assam,Rajesh Agarwal,9435549834,09435549834,jlbl.rajesh@gmail.com,,Star Category,3 Star,42,09/06/2017,08/06/2022
190516AS4192,0101014SA695,HOTEL NOVOTEL,"G.S.ROAD ,NEAR DOWN TOWN HOSPITAL, OPPOSITE - UDESHNA CINEMA COMPLEX 781006",Guwahati,Assam,M L DUTTA,8335043909,03612464933,mldutta@jkgexim.com,,Star Category,4 Star With Alcohol,118,08/09/2016,07/09/2021
070416AS2982,170622AS2001,Hotel Sarnaz,"Town Bantow, Ward No 14, NT Road, North Lakhimpur 787031",North Lakhimpur,Assam,Sariful Ali Hazarika,9954371897,03752232962,hotelsarnaz@gmail.com,,Star Category,2 Star,20,08/06/2017,07/06/2022
